FECHA,PRECIP,EVAP,TMAX,TMIN
1980-01-01,0.0,3.9,33.0,6.0
1980-01-02,0.0,1.4,28.5,7.0
1980-01-03,0.0,3.7,30.5,11.0
1980-01-04,0.0,2.5,32.5,10.0
1980-01-05,0.0,3.7,35.0,8.0
1980-01-06,0.0,3.1,34.0,6.5
1980-01-07,0.0,3.0,28.0,10.0
1980-01-08,0.0,4.8,32.5,7.0
1980-01-09,0.0,4.4,36.0,10.0
1980-01-10,0.0,4.9,34.0,8.0
1980-01-11,0.0,3.6,33.0,8.0
1980-01-12,0.0,3.3,38.5,7.0
1980-01-13,0.0,4.3,34.0,8.0
1980-01-14,0.0,2.7,32.0,7.5
1980-01-15,0.0,4.5,32.0,10.0
1980-01-16,0.0,2.1,31.5,11.0
1980-01-17,0.0,3.4,32.0,11.5
1980-01-18,0.0,4.5,31.9,10.0
1980-01-19,0.0,2.7,33.0,8.5
1980-01-20,0.0,3.8,32.0,10.0
1980-01-21,0.0,3.9,28.0,11.0
1980-01-22,0.0,2.5,28.0,15.5
1980-01-23,3.0,2.2,29.5,11.5
1980-01-24,3.6,1.5,18.5,12.0
1980-01-25,0.0,1.4,25.0,11.0
1980-01-26,0.5,2.8,29.0,11.5
1980-01-27,0.0,4.7,30.5,11.0
1980-01-28,0.0,3.3,30.5,8.5
1980-01-29,0.0,4.5,32.0,8.5
1980-01-30,0.0,2.9,33.5,9.0
1980-01-31,0.0,5.2,35.0,13.0
1980-02-01,0.0,3.8,36.0,14.0
1980-02-02,0.0,5.3,36.0,14.0
1980-02-03,0.0,4.6,39.0,13.0
1980-02-04,0.0,6.3,37.0,11.5
1980-02-05,0.0,3.2,34.0,11.5
1980-02-06,0.0,5.8,33.5,11.5
1980-02-07,0.0,3.4,31.0,12.5
1980-02-08,0.0,3.6,30.0,15.0
1980-02-09,0.0,4.8,32.0,13.0
1980-02-10,0.0,3.0,31.5,11.0
1980-02-11,9.0,1.3,21.0,14.0
1980-02-12,0.0,0.4,21.5,16.5
1980-02-13,0.0,3.9,29.2,13.5
1980-02-14,0.0,4.6,35.5,14.0
1980-02-15,0.0,3.5,34.0,16.0
1980-02-16,0.0,5.2,35.5,13.0
1980-02-17,0.0,6.2,34.0,13.5
1980-02-18,0.0,5.0,33.0,12.5
1980-02-19,0.0,4.8,35.0,13.5
1980-02-20,0.0,4.8,36.0,14.0
1980-02-21,0.0,4.8,35.0,11.5
1980-02-22,0.0,6.7,34.0,8.0
1980-02-23,0.0,6.1,34.0,7.5
1980-02-24,0.0,6.1,35.0,7.5
1980-02-25,0.0,5.8,36.0,8.5
1980-02-26,0.0,4.4,33.5,12.0
1980-02-27,0.0,3.1,30.0,18.0
1980-02-28,0.0,5.5,33.5,12.0
1980-02-29,0.0,6.3,33.0,11.0
1980-03-01,0.0,7.6,34.5,10.0
1980-03-02,0.0,5.8,35.0,10.0
1980-03-03,0.0,6.6,33.0,11.0
1980-03-04,0.0,5.9,34.5,6.5
1980-03-05,0.0,5.9,35.0,9.0
1980-03-06,0.0,4.6,35.0,10.0
1980-03-07,0.0,4.7,33.5,11.0
1980-03-08,0.0,5.0,38.5,12.0
1980-03-09,0.0,8.8,41.5,13.0
1980-03-10,0.0,3.2,36.5,13.0
1980-03-11,0.0,7.0,36.0,16.0
1980-03-12,0.0,7.0,36.0,14.0
1980-03-13,0.0,6.3,36.0,11.5
1980-03-14,0.0,5.7,36.5,13.5
1980-03-15,0.0,7.0,38.5,12.0
1980-03-16,0.0,6.1,35.5,12.5
1980-03-17,0.0,6.5,36.5,12.0
1980-03-18,0.0,4.8,34.5,13.0
1980-03-19,0.0,7.0,36.5,11.5
1980-03-20,0.0,7.9,38.0,10.5
1980-03-21,0.0,7.7,39.0,11.5
1980-03-22,0.0,7.3,36.0,14.0
1980-03-23,0.0,7.9,36.0,15.0
1980-03-24,0.0,7.4,36.0,16.5
1980-03-25,0.5,3.2,30.0,22.0
1980-03-26,0.0,2.0,29.0,15.0
1980-03-27,0.0,4.8,31.0,17.0
1980-03-28,0.0,6.1,34.0,11.0
1980-03-29,0.0,6.3,35.0,9.0
1980-03-30,0.0,8.1,34.5,8.0
1980-03-31,0.0,4.5,30.0,8.0
1980-04-01,0.0,8.0,34.0,9.5
1980-04-02,0.0,8.1,34.5,6.0
1980-04-03,0.0,7.9,36.0,8.5
1980-04-04,0.0,6.6,37.0,10.5
1980-04-05,0.0,6.5,36.0,13.0
1980-04-06,0.0,7.3,39.0,15.0
1980-04-07,0.0,8.2,39.0,11.0
1980-04-08,0.0,8.8,38.0,11.0
1980-04-09,0.0,8.8,36.0,11.0
1980-04-10,0.0,7.4,37.0,11.5
1980-04-11,0.0,8.5,36.5,9.0
1980-04-12,0.0,7.0,32.5,14.5
1980-04-13,0.0,7.8,32.5,11.0
1980-04-14,0.0,8.9,33.5,8.5
1980-04-15,0.0,7.5,34.0,10.0
1980-04-16,0.0,9.9,37.5,7.0
1980-04-17,0.0,8.8,37.5,8.5
1980-04-18,0.0,6.7,37.0,14.0
1980-04-19,0.0,7.8,39.0,16.0
1980-04-20,0.0,7.2,38.5,18.5
1980-04-21,0.0,10.2,39.5,25.0
1980-04-22,0.0,9.4,40.0,17.0
1980-04-23,0.0,11.5,39.0,13.0
1980-04-24,0.0,11.8,37.0,12.0
1980-04-25,0.0,5.0,36.9,10.0
1980-04-26,0.0,8.7,36.0,10.0
1980-04-27,0.0,6.8,33.5,8.0
1980-04-28,0.0,7.0,39.5,19.0
1980-04-29,0.8,2.3,34.0,18.5
1980-04-30,0.0,3.9,30.0,20.0
1980-05-01,0.0,7.9,34.0,16.5
1980-05-02,0.0,9.3,38.0,14.5
1980-05-03,0.0,9.0,38.5,13.0
1980-05-04,0.0,9.0,38.0,12.0
1980-05-05,0.0,9.1,38.0,13.0
1980-05-06,0.0,9.1,40.0,13.0
1980-05-07,0.0,10.1,38.0,14.0
1980-05-08,0.0,10.2,39.0,16.0
